Cluster,Analysis,Backdoor,Bot,DDoS,DoS,DoS GoldenEye,DoS Hulk,DoS SlowHTTPTest,DoS Slowloris,Exploits,FTP Patator,Fuzzers,Generic,Heartbleed,Infiltration,Normal,Port Scan,Reconnaissance,SSH Patator,Shellcode,Web Attack - Brute Force,Web Attack - SQL Injection,Web Attack - XSS,Worms
Cluster 248,0,0,0,0,0,0,486,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Cluster 249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1027,0,0,0,0,0,0,0,0
Cluster 25,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1063,0,0,0,0
Cluster 250,0,0,0,0,0,0,1368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 251,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1923,0,0,0,0,0,0,0,0
Cluster 252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1333,0,0,0,0,0,0,0,0
Cluster 253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1502,0,0,0,0,0
Cluster 254,0,0,0,0,1,0,0,0,0,0,1249,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 255,0,0,0,4138,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
Cluster 256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2381,0,0,0,0,0
Cluster 257,0,0,0,0,18,0,0,0,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,921,0,0,0,0,0
Cluster 259,0,0,0,0,1099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 26,0,0,0,0,809,0,0,0,0,0,0,0,3176,0,0,0,0,0,0,0,0,0,0,0
Cluster 260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2473,0,0,0
Cluster 261,0,0,0,0,1,0,0,0,0,847,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4604,0,0,0,0,0,0,0,0
Cluster 263,0,0,0,0,0,0,0,0,0,1,0,0,89,0,0,0,0,0,0,0,0,0,0,0
Cluster 264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4363,0,0,0,0,0,0,0,0
Cluster 265,0,0,0,2873,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
